sensor_type,temperature,humidity,soilMoisture,lightIntensity,ECO2,fanState,lightState,humidifierState,blueLightState,coolerState,timestamp
chestnut,29.0,62.6,1,0,451,False,False,True,False,False,2025-03-21 10:04:52.485
chestnut,29.1,62.5,1,0,458,False,False,True,False,False,2025-03-21 10:04:58.601
chestnut,29.0,62.6,1,0,466,False,False,True,False,False,2025-03-21 10:05:02.489
chestnut,29.1,62.6,1,0,504,False,False,True,False,False,2025-03-21 10:05:07.429
chestnut,29.0,62.9,1,0,543,False,False,True,False,False,2025-03-21 10:05:12.460
chestnut,29.1,63.0,1,0,531,False,False,True,False,False,2025-03-21 10:05:17.543
chestnut,29.1,64.1,1,0,526,False,False,True,False,False,2025-03-21 10:05:22.501
chestnut,29.1,65.4,1,0,543,False,False,True,False,False,2025-03-21 10:05:27.474
chestnut,29.1,67.0,1,0,529,False,False,True,False,False,2025-03-21 10:05:32.430
chestnut,29.1,70.1,1,0,558,False,False,True,False,False,2025-03-21 10:05:42.862
chestnut,29.2,70.9,1,0,568,True,False,True,False,False,2025-03-21 10:05:47.796
chestnut,29.2,71.2,1,0,550,True,False,True,False,False,2025-03-21 10:05:55.638
chestnut,29.1,66.6,1,0,520,True,False,True,False,False,2025-03-21 10:05:57.782
chestnut,29.1,64.4,1,0,506,True,False,True,False,False,2025-03-21 10:06:02.805
chestnut,29.1,63.2,1,0,490,True,False,True,False,False,2025-03-21 10:06:07.759
chestnut,29.1,62.1,1,0,483,True,False,True,False,False,2025-03-21 10:06:12.840
chestnut,29.1,61.7,1,0,497,True,False,True,False,False,2025-03-21 10:06:17.859
chestnut,29.1,61.9,1,0,469,True,False,True,False,False,2025-03-21 10:06:23.027
chestnut,29.1,61.2,1,0,449,True,False,True,False,False,2025-03-21 10:06:27.836
chestnut,29.1,60.8,1,0,465,True,False,True,False,False,2025-03-21 10:06:33.843
chestnut,29.1,60.7,1,0,461,True,False,True,False,False,2025-03-21 10:06:37.827
chestnut,29.1,61.0,1,0,463,True,False,True,False,False,2025-03-21 10:06:42.892
chestnut,29.1,61.1,1,0,466,True,False,True,False,False,2025-03-21 10:06:47.761
chestnut,29.1,61.0,1,0,468,True,False,True,False,False,2025-03-21 10:06:52.791
chestnut,29.1,60.9,1,0,461,True,False,True,False,False,2025-03-21 10:06:57.837
chestnut,29.1,61.1,1,0,460,True,False,True,False,False,2025-03-21 10:07:02.812
chestnut,29.1,60.8,1,0,458,True,False,True,False,False,2025-03-21 10:07:07.752
chestnut,29.1,61.2,1,0,459,True,False,True,False,False,2025-03-21 10:07:12.795
chestnut,29.1,61.0,1,0,461,True,False,True,False,False,2025-03-21 10:07:17.762
chestnut,29.1,61.2,1,0,474,True,False,True,False,False,2025-03-21 10:07:22.779
chestnut,29.1,60.9,1,0,445,True,False,True,False,False,2025-03-21 10:07:27.736
chestnut,29.1,61.0,1,0,455,True,False,True,False,False,2025-03-21 10:07:32.821
chestnut,29.1,60.9,1,0,486,True,False,True,False,False,2025-03-21 10:07:37.829
chestnut,29.1,61.1,1,0,459,True,False,True,False,False,2025-03-21 10:07:42.951
chestnut,29.1,60.9,1,0,490,True,False,True,False,False,2025-03-21 10:07:47.783
chestnut,29.2,60.9,1,0,473,True,False,True,False,False,2025-03-21 10:07:52.935
chestnut,29.2,61.0,1,0,455,True,False,True,False,False,2025-03-21 10:07:57.909
chestnut,29.1,61.1,1,0,476,True,False,True,False,False,2025-03-21 10:08:02.817
chestnut,29.1,61.1,1,0,462,True,False,True,False,False,2025-03-21 10:08:10.730
chestnut,29.1,61.0,1,0,462,True,False,True,False,False,2025-03-21 10:08:12.765
chestnut,29.1,60.8,1,0,476,True,False,True,False,False,2025-03-21 10:08:17.884
chestnut,29.2,60.5,1,0,478,True,False,True,False,False,2025-03-21 10:08:22.784
chestnut,29.1,61.0,1,0,474,True,False,True,False,False,2025-03-21 10:08:27.731
chestnut,29.1,61.0,1,0,473,True,False,True,False,False,2025-03-21 10:08:32.847
chestnut,29.2,60.7,1,0,469,True,False,True,False,False,2025-03-21 10:08:37.873
chestnut,29.2,60.8,1,0,469,True,False,True,False,False,2025-03-21 10:08:42.907
chestnut,29.2,60.8,1,0,479,True,False,True,False,False,2025-03-21 10:08:47.906
chestnut,29.2,60.8,1,0,490,True,False,True,False,False,2025-03-21 10:08:52.791
chestnut,29.2,60.8,1,0,488,True,False,True,False,False,2025-03-21 10:08:57.848
chestnut,29.1,61.0,1,0,479,True,False,True,False,False,2025-03-21 10:09:02.929
chestnut,29.2,60.7,1,0,475,True,False,True,False,False,2025-03-21 10:09:07.885
chestnut,29.2,61.0,1,0,476,True,False,True,False,False,2025-03-21 10:09:12.864
chestnut,29.2,60.9,1,0,487,True,False,True,False,False,2025-03-21 10:09:17.982
chestnut,29.2,60.7,1,0,474,True,False,True,False,False,2025-03-21 10:09:25.578
chestnut,29.1,61.3,1,0,487,True,False,True,False,False,2025-03-21 10:09:27.910
chestnut,29.2,60.8,1,0,470,True,False,True,False,False,2025-03-21 10:09:32.928
chestnut,29.2,60.8,1,0,466,True,False,True,False,False,2025-03-21 10:09:37.787
chestnut,29.2,60.9,1,0,496,True,False,True,False,False,2025-03-21 10:09:43.010
chestnut,29.2,60.5,1,0,468,True,False,True,False,False,2025-03-21 10:09:47.782
chestnut,29.2,60.9,1,0,485,True,False,True,False,False,2025-03-21 10:09:52.741
chestnut,29.2,60.8,1,0,462,True,False,True,False,False,2025-03-21 10:09:57.739
chestnut,29.2,60.7,1,0,480,True,False,True,False,False,2025-03-21 10:10:02.766
chestnut,29.2,60.5,1,0,479,True,False,True,False,False,2025-03-21 10:10:07.772
chestnut,29.2,61.0,1,0,477,True,False,True,False,False,2025-03-21 10:10:12.789
chestnut,29.2,60.6,1,0,497,True,False,True,False,False,2025-03-21 10:10:17.814
chestnut,29.2,61.1,1,0,477,True,False,True,False,False,2025-03-21 10:10:24.134
chestnut,29.2,60.7,1,0,488,True,False,True,False,False,2025-03-21 10:10:27.865
chestnut,29.1,60.7,1,0,476,True,False,True,False,False,2025-03-21 10:10:32.883
chestnut,29.2,60.6,1,0,469,True,False,True,False,False,2025-03-21 10:10:37.865
chestnut,29.2,60.8,1,0,515,True,False,True,False,False,2025-03-21 10:10:42.763
chestnut,29.2,60.7,1,0,513,True,False,True,False,False,2025-03-21 10:10:47.891
chestnut,29.2,61.0,1,0,480,True,False,True,False,False,2025-03-21 10:10:52.810
chestnut,29.2,59.9,1,0,492,False,False,True,False,False,2025-03-21 10:11:23.528
chestnut,29.2,59.9,1,0,487,False,False,True,False,False,2025-03-21 10:11:27.336
chestnut,29.2,59.7,1,0,474,False,False,True,False,False,2025-03-21 10:11:32.361
chestnut,29.2,59.8,1,0,506,False,False,True,False,False,2025-03-21 10:11:37.370
chestnut,29.2,59.7,1,0,502,False,False,True,False,False,2025-03-21 10:11:42.399
chestnut,29.2,60.0,1,0,502,False,False,True,False,False,2025-03-21 10:11:47.385
chestnut,29.3,60.2,1,0,516,False,False,True,False,False,2025-03-21 10:11:52.341
chestnut,29.3,60.0,1,0,518,False,False,True,False,False,2025-03-21 10:11:58.542
chestnut,29.3,60.5,1,0,524,False,False,True,False,False,2025-03-21 10:12:02.378
chestnut,29.3,64.8,1,0,541,False,False,True,False,False,2025-03-21 10:12:13.959
chestnut,29.3,64.2,1,0,542,True,False,True,False,False,2025-03-21 10:12:21.995
chestnut,29.4,64.9,1,0,553,True,False,True,False,False,2025-03-21 10:12:24.087
chestnut,29.3,63.4,1,0,550,True,False,True,False,False,2025-03-21 10:12:28.855
chestnut,29.3,62.1,1,0,552,True,False,True,False,False,2025-03-21 10:12:33.678
chestnut,29.4,61.5,1,0,536,True,False,True,False,False,2025-03-21 10:12:39.546
chestnut,29.3,61.1,1,0,532,True,False,True,False,False,2025-03-21 10:12:43.620
chestnut,29.3,60.9,1,0,543,True,False,True,False,False,2025-03-21 10:12:48.732
