sensor_type,temperature,humidity,soilMoisture,lightIntensity,timestamp
oyster,28.9,72.5,19.0,78.0,2024-12-29 08:28:31.220
oyster,28.9,73.1,15.0,0.0,2024-12-29 08:28:35.473
oyster,29.1,71.4,22.0,76.0,2024-12-29 08:28:40.823
oyster,29.1,70.9,18.0,73.0,2024-12-29 08:28:46.150
oyster,29.2,70.8,17.0,69.0,2024-12-29 08:28:51.791
oyster,29.3,70.5,17.0,70.0,2024-12-29 08:28:57.091
oyster,29.3,70.4,17.0,73.0,2024-12-29 08:29:02.288
oyster,29.4,70.2,22.0,73.0,2024-12-29 08:29:07.575
oyster,29.4,69.9,22.0,75.0,2024-12-29 08:29:12.722
oyster,29.4,69.9,23.0,76.0,2024-12-29 08:29:17.841
oyster,29.4,69.6,22.0,75.0,2024-12-29 08:29:23.042
oyster,29.4,69.7,17.0,74.0,2024-12-29 08:29:28.160
oyster,29.4,69.7,19.0,75.0,2024-12-29 08:29:33.384
oyster,29.5,69.6,22.0,75.0,2024-12-29 08:29:38.785
oyster,29.5,69.5,16.0,73.0,2024-12-29 08:29:46.431
oyster,29.5,69.5,22.0,74.0,2024-12-29 08:29:51.566
oyster,29.5,69.2,23.0,76.0,2024-12-29 08:29:56.686
oyster,29.5,69.2,22.0,76.0,2024-12-29 08:30:01.857
oyster,29.5,69.4,21.0,77.0,2024-12-29 08:30:07.067
oyster,29.6,69.2,22.0,74.0,2024-12-29 08:30:12.490
oyster,29.5,69.2,19.0,71.0,2024-12-29 08:30:17.615
oyster,29.6,69.3,22.0,76.0,2024-12-29 08:30:23.982
oyster,29.5,69.3,22.0,73.0,2024-12-29 08:30:29.506
oyster,29.6,69.2,23.0,73.0,2024-12-29 08:30:34.806
oyster,29.6,69.4,21.0,75.0,2024-12-29 08:30:40.081
oyster,29.6,69.2,19.0,70.0,2024-12-29 08:30:45.212
oyster,29.6,69.4,16.0,74.0,2024-12-29 08:30:50.332
oyster,28.9,95.1,14.0,0.0,2024-12-29 08:45:01.906
oyster,28.9,95.2,19.0,63.0,2024-12-29 08:45:07.332
oyster,28.9,95.0,18.0,63.0,2024-12-29 08:45:12.747
oyster,28.9,95.1,19.0,64.0,2024-12-29 08:45:17.993
oyster,28.9,95.1,18.0,63.0,2024-12-29 08:45:23.360
oyster,28.9,95.1,18.0,63.0,2024-12-29 08:45:28.517
